Grouping,Source: https://gladreaders.com/types-or-genres-of-books/
0,all
1,Action
1,Adventure
1,Detective
1,Dystopian
1,Crime
1,Fan-Fiction
1,Mystery
1,Science Fiction (Sci-Fi)
1,Western
1,Steam Punk
2,Drama
2,Horror
2,Suspense
2,Thriller
3,Romance
3,Chic Lit
4,Humor
4,Satire
5,Classic
5,Historical Fiction
5,Realistic Fiction
5,narrative
5,biography
5,autobiography
5,memoir
6,Anthology
6,Short Story
7,Comic
7,Graphic Novel
8,Fable
8,Fairy Tale
8,Fantasy
8,Legend
8,Magical Realism
8,Mythology
